iter	RMSE
0	14.66609087
1	14.34248815
2	14.02602475
3	13.73738265
4	13.46839226
5	13.2026224
6	12.94494303
7	12.72099922
8	12.49308954
9	12.27418775
10	12.04792461
11	11.85641334
12	11.66027654
13	11.47645947
14	11.30242579
15	11.12361673
16	10.95996708
17	10.80308968
18	10.6524421
19	10.51998679
20	10.3772844
21	10.26397073
22	10.14612365
23	10.02568798
24	9.911158188
25	9.803424653
26	9.720186589
27	9.631435615
28	9.536092949
29	9.446199803
30	9.366043361
31	9.288845861
32	9.2130939
33	9.142942274
34	9.079000377
35	9.020650744
36	8.96798489
37	8.916890587
38	8.865230889
39	8.814059373
40	8.764190505
41	8.72445437
42	8.682649367
43	8.642229681
44	8.616204987
45	8.57999802
46	8.546355985
47	8.513854276
48	8.495764183
49	8.464145573
50	8.435962156
51	8.409526738
52	8.382785451
53	8.358916613
54	8.335289798
55	8.315174738
56	8.296216857
57	8.278222199
58	8.259208167
59	8.241831582
60	8.222636107
61	8.199370597
62	8.181073515
63	8.16657979
64	8.148887286
65	8.133840628
66	8.11819854
67	8.106580171
68	8.092828621
69	8.081723315
70	8.06889385
71	8.059646807
72	8.051004309
73	8.041583118
74	8.032551319
75	8.022221984
76	8.013640576
77	8.005872277
78	7.998872856
79	7.992914028
80	7.982909378
81	7.975921253
82	7.967662688
83	7.958749866
84	7.953212916
85	7.945633244
86	7.936906154
87	7.932091414
88	7.928058457
89	7.914706505
90	7.91007641
91	7.9036738
92	7.899771549
93	7.894525231
94	7.890785715
95	7.885609094
96	7.884567519
97	7.879119098
98	7.873532878
99	7.860882517
100	7.855139631
101	7.850029214
102	7.841447108
103	7.83644092
104	7.831295981
105	7.823909975
106	7.820316152
107	7.81453183
108	7.810910905
109	7.80660037
110	7.800453839
111	7.799334979
112	7.798811914
113	7.79428575
114	7.788593274
115	7.78378195
116	7.779891758
117	7.775038737
118	7.771262189
119	7.767161708
120	7.761895045
121	7.759942403
122	7.757799479
123	7.754566259
124	7.751406259
125	7.746836368
126	7.740909849
127	7.736755359
128	7.730922223
129	7.728765833
130	7.721758547
131	7.71308003
132	7.709434295
133	7.706708644
134	7.704051847
135	7.702345909
136	7.70025092
137	7.697402377
138	7.696348477
139	7.694237463
140	7.693115648
141	7.691012936
142	7.689686443
143	7.687334726
144	7.684920446
145	7.682308292
146	7.680090461
147	7.67754019
148	7.675057594
149	7.671215319
150	7.669792846
151	7.663574118
152	7.662607317
153	7.657700762
154	7.656816616
155	7.653173515
156	7.65261754
157	7.649493251
158	7.642667703
159	7.639576579
160	7.636118082
161	7.632534212
162	7.630061281
163	7.623461552
164	7.618150664
165	7.61542623
166	7.611101133
167	7.606305765
168	7.603074375
169	7.598611985
170	7.597442061
171	7.588677607
172	7.58649474
173	7.581996293
174	7.580480869
175	7.577764635
176	7.568652165
177	7.567223644
178	7.563642916
179	7.561768516
180	7.559579768
181	7.557927286
182	7.556215692
183	7.5547386
184	7.55347155
185	7.548597172
186	7.544932475
187	7.53784442
188	7.535674255
189	7.529275186
190	7.528070552
191	7.525599268
192	7.520448449
193	7.514779743
194	7.505618654
195	7.503902721
196	7.502964138
197	7.497168392
198	7.494900029
199	7.489450997
200	7.488474506
201	7.485000633
202	7.482445094
203	7.480521887
204	7.478379552
205	7.477315192
206	7.475045719
207	7.471709955
208	7.465365455
209	7.464443153
210	7.457986705
211	7.456843866
212	7.455697397
213	7.454421094
214	7.452687431
215	7.451302485
216	7.45005933
217	7.447856345
218	7.447308865
219	7.444820992
220	7.443654189
221	7.442906958
222	7.437915314
223	7.429640669
224	7.427878292
225	7.422137494
226	7.419430166
227	7.417699398
228	7.416944936
229	7.416019394
230	7.41173425
231	7.410541689
232	7.409630495
233	7.408569523
234	7.407704921
235	7.405594608
236	7.404241777
237	7.403234256
238	7.400456893
239	7.397380477
240	7.396434396
241	7.394912497
242	7.391987183
243	7.385381256
244	7.377751595
245	7.371014749
246	7.368585337
247	7.366006741
248	7.365062216
249	7.363929423
250	7.357157182
251	7.355020294
252	7.352475974
253	7.351811406
254	7.350952351
255	7.350117346
256	7.34887194
257	7.347919087
258	7.346006127
259	7.344525935
260	7.343846513
261	7.34154731
262	7.333869298
263	7.331854883
264	7.330886238
265	7.328490591
266	7.327864338
267	7.326754923
268	7.319713259
269	7.311721859
270	7.303580596
271	7.302650091
272	7.301630163
273	7.301079433
274	7.294619087
275	7.293908888
276	7.28699226
277	7.284773026
278	7.27881042
279	7.277842887
280	7.277058648
281	7.274778253
282	7.274028175
283	7.272951091
284	7.272489081
285	7.271190895
286	7.266989792
287	7.259980429
288	7.259022285
289	7.253141888
290	7.246204323
291	7.244400051
292	7.243663569
293	7.239687787
294	7.239209063
295	7.236083707
296	7.231046508
297	7.222900651
298	7.22173547
299	7.220886129
300	7.215720424
301	7.212122208
302	7.210347071
303	7.203242185
304	7.19829636
305	7.197531372
306	7.196777695
307	7.196254554
308	7.19266059
309	7.192162422
310	7.190452934
311	7.182980821
312	7.181187607
313	7.180572976
314	7.17216005
315	7.163864859
316	7.161860144
317	7.154513843
318	7.14907328
319	7.1425481
320	7.134853811
321	7.134290992
322	7.12883553
323	7.123492326
324	7.118290632
325	7.115944184
326	7.114314477
327	7.11397207
328	7.11227818
329	7.108214184
330	7.106765444
331	7.098856507
332	7.09582191
333	7.091787701
334	7.086842173
335	7.086047053
336	7.080326411
337	7.079194203
338	7.078831708
339	7.074144796
340	7.073393964
341	7.072926093
342	7.070379961
343	7.069973883
344	7.066079792
345	7.064351644
346	7.063882482
347	7.062723373
348	7.062337025
349	7.055417994
350	7.053548118
351	7.052019188
352	7.05025965
353	7.046532276
354	7.045901534
355	7.041517529
356	7.036122142
357	7.030504596
358	7.025797562
359	7.025476537
360	7.025122848
361	7.023271794
362	7.020000329
363	7.019170385
364	7.017887195
365	7.015074842
366	7.014227001
367	7.009032931
368	7.008597531
369	7.005239647
370	6.99736059
371	6.994123232
372	6.993708864
373	6.988146105
374	6.985771512
375	6.982506115
376	6.975666638
377	6.969526933
378	6.968804547
379	6.963922775
380	6.96359269
381	6.962833004
382	6.962295907
383	6.962145529
384	6.955274562
385	6.95061376
386	6.949646727
387	6.945867617
388	6.944242681
389	6.936175884
390	6.934874651
391	6.928904171
392	6.927645081
393	6.927212247
394	6.926619652
395	6.922555404
396	6.922295749
397	6.914104125
398	6.907997754
399	6.903975845
400	6.900097374
401	6.894756168
402	6.893621694
403	6.8931304
404	6.884736577
405	6.878504018
406	6.870389612
407	6.867779241
408	6.864499038
409	6.860138115
410	6.859753373
411	6.855845677
412	6.849780795
413	6.84535486
414	6.842532986
415	6.841566556
416	6.840292251
417	6.835367599
418	6.831523071
419	6.828670742
420	6.827739411
421	6.827185523
422	6.823673321
423	6.821954429
424	6.819225521
425	6.817922357
426	6.817467201
427	6.815888043
428	6.812068366
429	6.811439601
430	6.804487532
431	6.80248539
432	6.798171657
433	6.796900129
434	6.79640868
435	6.793256105
436	6.788953043
437	6.787928292
438	6.786512921
439	6.781670599
440	6.778992654
441	6.773961609
442	6.772934762
443	6.772683919
444	6.772387763
445	6.768958606
446	6.767470231
447	6.766799572
448	6.762860622
449	6.759904001
450	6.755906784
451	6.755623083
452	6.75053202
453	6.746104739
454	6.741217311
455	6.740530155
456	6.733927421
457	6.732103993
458	6.72756066
459	6.724728246
460	6.72073226
461	6.720053387
462	6.715698288
463	6.713856537
464	6.70844561
465	6.705883724
466	6.703694354
467	6.703374354
468	6.700685826
469	6.694499324
470	6.689064636
471	6.688711057
472	6.684337264
473	6.681185975
474	6.678135737
475	6.673876802
476	6.673574009
477	6.671296081
478	6.670290951
479	6.669211887
480	6.666629167
481	6.661783763
482	6.65738889
483	6.656702682
484	6.653153623
485	6.652864614
486	6.650122715
487	6.649144657
488	6.647151608
489	6.643119979
490	6.640357337
491	6.639768469
492	6.63847041
493	6.635646839
494	6.635445298
495	6.635075341
496	6.632330903
